auction_test
TEMP	EMBEDDING		GENERATOR	WEAK	STRONG	EMB	TIME
0.0	nomic-embed-text	gemma		0.0%	0.0%	50.0%	18.94
0.2	nomic-embed-text	gemma		0.0%	0.0%	50.0%	13.57
0.4	nomic-embed-text	gemma		0.0%	0.0%	50.0%	13.52
0.6	nomic-embed-text	gemma		0.0%	0.0%	50.0%	13.52
0.8	nomic-embed-text	gemma		0.0%	0.0%	50.0%	13.53
1.0	nomic-embed-text	gemma		0.0%	0.0%	50.0%	13.65
0.0	nomic-embed-text	gemma2		50.0%	0.0%	50.0%	19.88
0.2	nomic-embed-text	gemma2		50.0%	0.0%	50.0%	13.93
0.4	nomic-embed-text	gemma2		50.0%	0.0%	50.0%	13.92
0.6	nomic-embed-text	gemma2		50.0%	0.0%	50.0%	13.89
0.8	nomic-embed-text	gemma2		50.0%	0.0%	50.0%	13.9
1.0	nomic-embed-text	gemma2		50.0%	0.0%	50.0%	13.87
0.0	nomic-embed-text	codegemma	0.0%	0.0%	50.0%	18.77
0.2	nomic-embed-text	codegemma	0.0%	0.0%	50.0%	13.52
0.4	nomic-embed-text	codegemma	0.0%	0.0%	50.0%	13.5
0.6	nomic-embed-text	codegemma	0.0%	0.0%	50.0%	13.54
0.8	nomic-embed-text	codegemma	0.0%	0.0%	50.0%	13.26
1.0	nomic-embed-text	codegemma	0.0%	0.0%	50.0%	13.28
0.0	nomic-embed-text	llama3.1	100.0%	100.0%	50.0%	16.17
0.2	nomic-embed-text	llama3.1	100.0%	100.0%	50.0%	10.49
0.4	nomic-embed-text	llama3.1	100.0%	100.0%	50.0%	10.46
0.6	nomic-embed-text	llama3.1	50.0%	50.0%	50.0%	10.43
0.8	nomic-embed-text	llama3.1	50.0%	50.0%	50.0%	10.41
1.0	nomic-embed-text	llama3.1	100.0%	100.0%	50.0%	10.47
0.0	nomic-embed-text	llama3.2	0.0%	0.0%	50.0%	3.85
0.2	nomic-embed-text	llama3.2	0.0%	0.0%	50.0%	0.46
0.4	nomic-embed-text	llama3.2	0.0%	0.0%	50.0%	0.44
0.6	nomic-embed-text	llama3.2	0.0%	0.0%	50.0%	0.44
0.8	nomic-embed-text	llama3.2	0.0%	0.0%	50.0%	0.44
1.0	nomic-embed-text	llama3.2	0.0%	0.0%	50.0%	0.49
0.0	nomic-embed-text	codellama	0.0%	0.0%	50.0%	14.47
0.2	nomic-embed-text	codellama	0.0%	0.0%	50.0%	10.05
0.4	nomic-embed-text	codellama	0.0%	0.0%	50.0%	10.08
0.6	nomic-embed-text	codellama	0.0%	0.0%	50.0%	10.04
0.8	nomic-embed-text	codellama	0.0%	0.0%	50.0%	9.93
1.0	nomic-embed-text	codellama	0.0%	0.0%	50.0%	10.02
0.0	nomic-embed-text	tinyllama	0.0%	0.0%	50.0%	1.73
0.2	nomic-embed-text	tinyllama	0.0%	0.0%	50.0%	0.48
0.4	nomic-embed-text	tinyllama	0.0%	0.0%	50.0%	0.49
0.6	nomic-embed-text	tinyllama	0.0%	0.0%	50.0%	0.49
0.8	nomic-embed-text	tinyllama	0.0%	0.0%	50.0%	0.44
1.0	nomic-embed-text	tinyllama	0.0%	0.0%	50.0%	0.33
0.0	nomic-embed-text	phi3		0.0%	0.0%	50.0%	10.66
0.2	nomic-embed-text	phi3		0.0%	0.0%	50.0%	8.42
0.4	nomic-embed-text	phi3		0.0%	0.0%	50.0%	0.52
0.6	nomic-embed-text	phi3		0.0%	0.0%	50.0%	0.41
0.8	nomic-embed-text	phi3		0.0%	0.0%	50.0%	0.52
1.0	nomic-embed-text	phi3		0.0%	0.0%	50.0%	0.43
